Tweet,Sentiment,Polarity,Subjectivity
5 modi per fare leva sulla riprova sociale https://t.co/DTXT2g24DT via @dmlab,positive,0.0,0.0
"RT @ZeeNewsHindi: पीएम मोदी की फैन लेडी डॉक्टर ने 'स्वच्छ भारत' के लिए दान किए 45 लाख रुपये
@narendramodi @PMOIndia 
https://t.co/9LdpmETOKn",positive,0.0,0.0
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @giniromet: I honestly feel bad for whoever has to face Modi in 2019. What are they going to say?

“Well, Modi may have lowered your tax…",negative,-0.04999999999999993,0.7833333333333333
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @rajneesh350: सभापति जी..रेणुका जी को आप कुछ न कहिये..
रामायण सीरियल के बाद ऐसी हँसी सुनने का
आज सौभाग्य मिला है!  ~#Modi
↕↕↕
जब संसद…",positive,0.0,0.0
RT @SahilDabass: @Nishanttanu2 @ravishndtv @mlkhattar @aajtak ho kya raha hai ye haryana mai modi ji kuch bolo,positive,0.0,0.0
PM to receive French President Emmanuel Macron in Varanasi tomorrow https://t.co/bjqzKbZkOr @narendramodi https://t.co/uWOe2XcoaR,positive,0.0,0.0
"RT @Cpcforbankers1: Modi ji namste hum hain bank mein piste laagu karin #CPCforbankers 
@WeBankerss",positive,0.0,0.0
"RT @twiish_: Gujju guy : pappa mai is baar modi ji ko vote nahin dunga

Father : https://t.co/ujWc01JZge",positive,0.0,0.0
"RT @CNBCTV18Live: PM Modi says India has a big renewable energy target of 175 GW, with 100 GW from solar alone https://t.co/uLMDA8C9mH",positive,0.0,0.1
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @RealHistoryPic: PM Sharing a Joke with French President, ""Aurat se Uski Umar aur Modi se Rafale ki Keemat Kabhi nahi Puchni chahiye"". (…",positive,0.0,0.0
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @jai_inc: Uttar Pradesh: ब्याज नहीं मिला तो साहूकार ने दलित महिला को जलाया जिंदा, हालत नाजुक - NDTVIndia 
Where is #Modi ji and #BJP on…",positive,0.0,0.0
RT @annesaurat: #Macron a offert à #Modi un exemplaire de la première traduction en français de la bhagavad gita (un des écrits fondamentau…,positive,0.0,0.0
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @neo_pac: Is this Smriti Irani? Anandi Ben? 
Does Modi know there's a bluddy protocol. You do NOT lace fingers with the first lady of Fr…",positive,0.25,0.3333333333333333
"RT @saandiippnayak: All devout Indians are praying that RaGa continue as lifetime UNELECTED, but anointed President of the Congress Party.…",positive,0.0,0.0
RT @vikrameffects: #AKinChhattisgarh AKs popularity is quite obvious now because people are fed up of scams done by chotta modi #PNBScam #R…,positive,0.0,0.5
RT @Joydas: Shocking why Farmers Protesting and commiting Suicide. Don't they know Modi Govt launched an App and Put an Ad in Economic Time…,negative,-0.4,0.6
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @manish_sharma84: The simple plan of the Modi Government is simple, to make farmers suffer so much that they give up their land and then…",positive,0.06666666666666667,0.3047619047619048
RT @KilaFateh: Former (RBI) Governor Raghuram Rajan has rubbished a fake quote attributed to him that claimed he warned Congress President…,negative,-0.25,0.5
"RT @ShatruganSinha_: The Rafale Scam keeps getting murkier. Here are 5 questions that PM Modi needs to answer. Pls Rt And Share.. 

Video L…",positive,0.0,0.0
@bhuvikal Dats y d whole of Undia is voting 4 Modi @d BJP. He is spreading hate. Dis guy is sure 2 go2 jail. His ku… https://t.co/zwIbJ3Q3Yc,negative,-0.050000000000000024,0.5472222222222223
RT @INCIndia: PM Modi's Rafale deal is a story of overpricing &amp; violations of norms. Will PM Modi explain why this deal was struck by break…,positive,0.0,0.0
"@iamfaisal1_ @salmanmasood Any proof? India ke, Afg ke ya Pak ke? Yehan tu Modi ke yaar hain...",positive,0.0,0.0
@narendramodi @EmmanuelMacron Modi ji Jindabad,positive,0.0,0.0
"RT @DasAnkitYadav: #JungleRaj_In_Haryana 
Only Haryana Govt can do this that a police man in Haryana bring under sedition charges even when…",positive,0.0,1.0
"RT @IYC: A promise of employment to the youth, the very foundation of their agenda in 2014, has been broken again by the Modi Government. I…",negative,-0.1,0.35
"@PMOIndia 
Sea bada na koi 2029 key bade ve Modi Sir Hogea PMO Har Har Maha dev Buss Modi sir key saith raho Sara j… https://t.co/rl1E5apafR",positive,0.0,1.0
"RT @PriyeshRaghuwa4: #JungleRaj_In_Haryana without any evidence no government will kept any innocent person in a jail ,but Modi's governmen…",positive,0.2,0.35
"RT @malviyamit: After Amit Shah and Ajit Doval, is ‘The Wire’ planning to target Arun Jaitley and his daughter with a shabby hitjob? https:…",positive,0.0,0.0
Reform ➝ Perform ➝ Transform : Latest development tracker of Modi government’s schemes. #TransformingIndia… https://t.co/NwdlRPF3vF,positive,0.5,0.9
